Model ID,Hidden Size,Embedding Size,Learning Rate,Gradient Clip,Epochs,Patience,Dev PPL,Final PPL
13,400,300,1,5,100,3,126.54422289341436,120.69980701560499
13,400,300,0.1,5,100,3,154.6548259531833,149.61135597848178
13,400,300,0.01,5,100,3,341.1002148396841,332.62162327959123
13,900,512,0.01,5,100,3,272.78608511906936,265.63618677821034
13,400,300,0.1,5,100,3,707.9287431735181,423.27901764098436  (questo USA ADAM e quelli che seguono)
13,400,300,0.01,5,100,3,167.39265956514538,145.643347248782
13,400,300,0.001,5,100,3,130.05348323152768,118.07364024113646
13,400,300,0.0001,5,100,3,128.2624256920808,117.31213580163359
13,400,300,1e-05,5,100,3,300.12183899966976,283.3865420217435
13,1024,512,1e-05,5,100,3,180.4117348330097,170.68259595246087
