Model ID, Hidden Size, Embedding Size, Learning Rate, batch, Gradient Clip, Epochs, Patience, Dev PPL           , Final PPL
       1,         400,            300,           0.5,  16,           5,    100,        3, 143.450475159691  , 138.58203738683702
       2,         400,            300,           0.5,  32,           5,    100,        3, 146.46465800598207, 140.7906307637815
       3,         400,            300,           0.5,  64,           5,    100,        3, 153.10424030035514, 148.57374838647416
       4,         400,            300,           1.0,  16,           5,    100,        3, 139.9595094664207 , 134.9488708312386  [~BEST]
       5,         400,            300,           1.0,  32,           5,    100,        3, 141.03328790783402, 137.22516664523317
       6,         400,            300,           1.0,  64,           5,    100,        3, 147.89821229696153, 142.85653726308936
       7,         400,            300,           2  ,  16,           5,    100,        3, 140.58067422507722, 135.31435156710114 [overfitting]
       8,         400,            300,           2  ,  32,           5,    100,        3, 137.89245881926303, 132.89790302854755 [overfitting]
       9,         400,            300,           2  ,  64,           5,    100,        3, 143.09604082804387, 138.29812012259774

