timestamp    , hid_size, emb_size, lr    , clip, runs, batch_size_train, batch_size_eval, n_epochs, patience, cutoff, bidirectional, dropout, dropout_rate, n_layers, dev_f1_mean, dev_f1_std, dev_acc_mean, dev_acc_std, path
20250425_1309,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, False        , False  ,          0.0,        1,       0.92 ,      0.004,        0.937,       0.005, experiments/exp_20250425_1309_biFalse_doFalse
20250425_1313,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , False  ,          0.0,        1,       0.936,      0.004,        0.943,       0.001, experiments/exp_20250425_1313_biTrue_doFalse
20250425_1318,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, False        , True   ,          0.1,        1,       0.669,      0.357,        0.882,       0.079, experiments/exp_20250425_1318_biFalse_doTrue
20250425_1322,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.94 ,      0.002,        0.948,       0.002, experiments/exp_20250425_1322_biTrue_doTrue
20250425_1327,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.3,        1,       0.939,      0.004,        0.947,       0.003, experiments/exp_20250425_1327_biTrue_doTrue
20250425_1333,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        2,       0.94 ,      0.003,        0.952,       0.004, experiments/exp_20250425_1333_biTrue_doTrue
20250425_1342,      300,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.942,      0.003,        0.947,       0.001, experiments/exp_20250425_1342_biTrue_doTrue
20250425_1347,      200,      400, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.947,      0.001,        0.95 ,       0.001, experiments/exp_20250425_1347_biTrue_doTrue [Best]
20250425_1353,      200,      300, 0.001 ,    5,    3,               64,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.944,      0.001,        0.953,       0.001, experiments/exp_20250425_1353_biTrue_doTrue [overfitted]
20250425_1356,      200,      300, 0.0005,    5,    3,               64,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.945,      0.002,        0.952,       0.005, experiments/exp_20250425_1356_biTrue_doTrue [overfitted]
20250425_1359,      200,      300, 0.0003,    5,    3,              256,             128,      200,        3,      0, False        , False  ,          0.0,        1,       0.924,      0.003,        0.935,       0.006, experiments/exp_20250425_1359_biFalse_doFalse
20250425_1402,      200,      300, 0.0001,    5,    3,               64,              64,      200,        3,      0, True         , False  ,          0.0,        1,       0.937,      0.002,        0.943,       0.003, experiments/exp_20250425_1402_biTrue_doFalse
20250425_1408,      200,      300, 5e-05 ,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.3,        1,       0.926,      0.003,        0.945,       0.001, experiments/exp_20250425_1408_biTrue_doTrue
20250425_1415,      200,      300, 0.0005,    5,    3,              256,             128,      200,        3,      0, False        , True   ,          0.1,        1,       0.929,      0.002,        0.943,       0.006, experiments/exp_20250425_1415_biFalse_doTrue
20250425_1417,      200,      300, 0.0003,    5,    3,              128,              64,      200,        3,      0, True         , False  ,          0.0,        1,       0.939,      0.002,        0.943,       0.002, experiments/exp_20250425_1417_biTrue_doFalse
20250425_1420,      200,      300, 5e-05 ,    5,    3,               64,              64,      200,        3,      0, False        , True   ,          0.3,        1,       0.888,      0.004,        0.932,       0.005, experiments/exp_20250425_1420_biFalse_doTrue
20250425_1428,      200,      300, 0.0001,    5,    3,              256,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.934,      0.001,        0.94 ,       0.001, experiments/exp_20250425_1428_biTrue_doTrue
20250425_1513,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.8,        1,       0.891,      0.006,        0.929,       0.004, experiments/exp_20250425_1513_biTrue_doTrue
20250425_1519,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        5,       0.909,      0.004,        0.953,       0.005, experiments/exp_20250425_1519_biTrue_doTrue
20250425_1532,      200,      300, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,       10,       0.791,      0.061,        0.941,       0.003, experiments/exp_20250425_1532_biTrue_doTrue
20250425_1557,      300,      400, 0.0001,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.94 ,      0.002,        0.95 ,       0.001, experiments/exp_20250425_1557_biTrue_doTrue
20250425_1601,      200,      300, 0.01  ,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.934,      0.009,        0.936,       0.004, experiments/exp_20250425_1601_biTrue_doTrue
20250425_1603,      200,      300, 1e-06 ,    5,    3,              128,              64,      200,        3,      0, True         , True   ,          0.1,        1,       0.0  ,      0.0  ,        0.268,       0.087, experiments/exp_20250425_1603_biTrue_doTrue
20250507_1608,      300,      400, 0.0001,    5,    3,               64,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.942,      0.001,        0.948,       0.002, experiments/exp_20250507_1608_biTrue_doTrue
20250507_1613,      300,      400, 0.0001,    5,    3,               32,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.944,      0.001,        0.95 ,       0.003, experiments/exp_20250507_1613_biTrue_doTrue
20250507_1626,      400,      500, 0.0001,    5,    3,               64,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.945,      0.001,        0.947,       0.002, experiments/exp_20250507_1626_biTrue_doTrue
20250507_1631,      500,      500, 0.0001,    5,    3,               64,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.941,      0.004,        0.944,       0.007, experiments/exp_20250507_1631_biTrue_doTrue
20250507_1647,      700,      800, 0.0001,    5,    3,               64,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.944,      0.001,        0.951,       0.001, experiments/exp_20250507_1647_biTrue_doTrue [2nd Best]
20250507_1721,      200,      500, 0.0001,    5,    3,              128,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.945,      0.001,        0.949,       0.003, experiments/exp_20250507_1721_biTrue_doTrue
20250507_1725,      200,      400, 0.0001,    5,    3,               64,             128,      200,        3,      0, True         , True   ,          0.1,        1,       0.943,      0.002,        0.947,       0.001, experiments/exp_20250507_1725_biTrue_doTrue
20250507_1732,300,500,0.0001,5,3,128,128,200,3,0,True,True,0.1,1,0.944,0.001,0.947,0.004,experiments/exp_20250507_1732_biTrue_doTrue
