timestamp    , lr    , dropout, clip, runs, batch_size_train, batch_size_eval, n_epochs, patience, cutoff, dev_f1_mean, dev_acc_mean, path
20250508_1752, 1e-05 ,     0.1,    1,    3,               64,             128,       20,        3,      0,       0.95 ,        0.976, experiments/exp_20250508_1752
20250508_1836, 1e-05 ,     0.2,    1,    3,               64,             128,       20,        3,      0,       0.954,        0.974, experiments/exp_20250508_1836
20250508_1920, 1e-05 ,     0.3,    1,    3,               64,             128,       20,        3,      0,       0.952,        0.978, experiments/exp_20250508_1920
20250508_2003, 1e-05 ,     0.4,    1,    3,               64,             128,       20,        3,      0,       0.951,        0.974, experiments/exp_20250508_2003
20250508_2049, 3e-05 ,     0.1,    1,    3,               64,             128,       20,        3,      0,       0.961,        0.976, experiments/exp_20250508_2049
20250508_2131, 3e-05 ,     0.2,    1,    3,               64,             128,       20,        3,      0,       0.955,        0.973, experiments/exp_20250508_2131
20250508_2214, 3e-05 ,     0.3,    1,    3,               64,             128,       20,        3,      0,       0.958,        0.973, experiments/exp_20250508_2214
20250508_2259, 3e-05 ,     0.4,    1,    3,               64,             128,       20,        3,      0,       0.96 ,        0.978, experiments/exp_20250508_2259
20250508_2344, 5e-05 ,     0.1,    1,    3,               64,             128,       20,        3,      0,       0.955,        0.976, experiments/exp_20250508_2344
20250509_0019, 5e-05 ,     0.2,    1,    3,               64,             128,       20,        3,      0,       0.958,        0.974, experiments/exp_20250509_0019
20250509_0058, 5e-05 ,     0.3,    1,    3,               64,             128,       20,        3,      0,       0.962,        0.974, experiments/exp_20250509_0058
20250509_0141, 5e-05 ,     0.4,    1,    3,               64,             128,       20,        3,      0,       0.958,        0.976, experiments/exp_20250509_0141
20250509_0223, 0.0001,     0.1,    1,    3,               64,             128,       20,        3,      0,       0.936,        0.968, experiments/exp_20250509_0223
20250509_0305, 0.0001,     0.2,    1,    3,               64,             128,       20,        3,      0,       0.955,        0.972, experiments/exp_20250509_0305
20250509_0343, 0.0001,     0.3,    1,    3,               64,             128,       20,        3,      0,       0.954,        0.968, experiments/exp_20250509_0343
20250509_0417, 0.0001,     0.4,    1,    3,               64,             128,       20,        3,      0,       0.954,        0.975, experiments/exp_20250509_0417
20250509_0456, 1e-05 ,     0.1,    1,    3,               32,              64,       20,        3,      0,       0.953,        0.972, experiments/exp_20250509_0456
20250509_0544, 1e-05 ,     0.2,    1,    3,               32,              64,       20,        3,      0,       0.957,        0.974, experiments/exp_20250509_0544
20250509_0632, 1e-05 ,     0.3,    1,    3,               32,              64,       20,        3,      0,       0.957,        0.975, experiments/exp_20250509_0632
20250509_0720, 1e-05 ,     0.4,    1,    3,               32,              64,       20,        3,      0,       0.954,        0.976, experiments/exp_20250509_0720
20250509_0807, 3e-05 ,     0.1,    1,    3,               32,              64,       20,        3,      0,       0.958,        0.973, experiments/exp_20250509_0807
20250509_0851, 3e-05 ,     0.2,    1,    3,               32,              64,       20,        3,      0,       0.956,        0.974, experiments/exp_20250509_0851
20250509_0930, 3e-05 ,     0.3,    1,    3,               32,              64,       20,        3,      0,       0.96 ,        0.974, experiments/exp_20250509_0930
20250509_1017, 3e-05 ,     0.4,    1,    3,               32,              64,       20,        3,      0,       0.957,        0.974, experiments/exp_20250509_1017
20250509_1100, 5e-05 ,     0.1,    1,    3,               32,              64,       20,        3,      0,       0.0  ,        0.708, experiments/exp_20250509_1100
20250509_1145, 5e-05 ,     0.2,    1,    3,               32,              64,       20,        3,      0,       0.958,        0.97 , experiments/exp_20250509_1145
20250509_1226, 5e-05 ,     0.3,    1,    3,               32,              64,       20,        3,      0,       0.955,        0.974, experiments/exp_20250509_1226
20250509_1308, 5e-05 ,     0.4,    1,    3,               32,              64,       20,        3,      0,       0.959,        0.976, experiments/exp_20250509_1308
20250509_1348, 0.0001,     0.1,    1,    3,               32,              64,       20,        3,      0,       0.0  ,        0.708, experiments/exp_20250509_1348
20250509_1425, 0.0001,     0.2,    1,    3,               32,              64,       20,        3,      0,       0.0  ,        0.708, experiments/exp_20250509_1425
20250509_1453, 0.0001,     0.3,    1,    3,               32,              64,       20,        3,      0,       0.952,        0.962, experiments/exp_20250509_1453
20250509_1539, 0.0001,     0.4,    1,    3,               32,              64,       20,        3,      0,       0.942,        0.96 , experiments/exp_20250509_1539
20250514_1427,1e-05,0.1,1,3,16,32,20,3,0,0.958,0.978,experiments/exp_20250514_1427
