timestamp    , lr    , dropout, clip, runs, batch_size_train, batch_size_eval, n_epochs, patience, cutoff, dev_f1_mean, dev_acc_mean, path
20250507_1936, 1e-05 ,     0.1,    1,    3,               64,             128,       10,        3,      0,       0.906,        0.931, experiments/exp_20250507_1936 ✅ (baseline | low lr)
20250507_1943, 1e-05 ,     0.2,    1,    3,               64,             128,       10,        3,      0,       0.899,        0.959, experiments/exp_20250507_1943
20250507_1951, 1e-05 ,     0.3,    1,    3,               64,             128,       10,        3,      0,       0.895,        0.922, experiments/exp_20250507_1951
20250507_1959, 1e-05 ,     0.4,    1,    3,               64,             128,       10,        3,      0,       0.898,        0.932, experiments/exp_20250507_1959
20250507_2006, 3e-05 ,     0.1,    1,    3,               64,             128,       10,        3,      0,       0.952,        0.976, experiments/exp_20250507_2006
20250507_2013, 3e-05 ,     0.2,    1,    3,               64,             128,       10,        3,      0,       0.947,        0.976, experiments/exp_20250507_2013
20250507_2020, 3e-05 ,     0.3,    1,    3,               64,             128,       10,        3,      0,       0.942,        0.974, experiments/exp_20250507_2020
20250507_2027, 3e-05 ,     0.4,    1,    3,               64,             128,       10,        3,      0,       0.947,        0.971, experiments/exp_20250507_2027
20250507_2035, 5e-05 ,     0.1,    1,    3,               64,             128,       10,        3,      0,       0.953,        0.975, experiments/exp_20250507_2035
20250507_2042, 5e-05 ,     0.2,    1,    3,               64,             128,       10,        3,      0,       0.954,        0.97 , experiments/exp_20250507_2042
20250507_2049, 5e-05 ,     0.3,    1,    3,               64,             128,       10,        3,      0,       0.95 ,        0.973, experiments/exp_20250507_2049
20250507_2057, 5e-05 ,     0.4,    1,    3,               64,             128,       10,        3,      0,       0.953,        0.973, experiments/exp_20250507_2057
20250507_2104, 0.0001,     0.1,    1,    3,               64,             128,       10,        3,      0,       0.959,        0.973, experiments/exp_20250507_2104
20250507_2111, 0.0001,     0.2,    1,    3,               64,             128,       10,        3,      0,       0.952,        0.966, experiments/exp_20250507_2111
20250507_2118, 0.0001,     0.3,    1,    3,               64,             128,       10,        3,      0,       0.952,        0.964, experiments/exp_20250507_2118
