timestamp    , lr    , clip, runs, batch_size_train, batch_size_eval, n_epochs, patience, cutoff, dev_f1_mean, dev_f1_std, dev_acc_mean, dev_acc_std, path
20250505_1647, 1e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.898,      0.002,        0.945,       0.016, experiments/exp_20250505_1647
20250505_1708, 1e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.899,      0.004,        0.946,       0.016, experiments/exp_20250505_1708
20250505_1728, 1e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.898,      0.001,        0.929,       0.011, experiments/exp_20250505_1728
20250505_1749, 1e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.896,      0.003,        0.931,       0.015, experiments/exp_20250505_1749
20250505_1810, 3e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.949,      0.001,        0.974,       0.002, experiments/exp_20250505_1810
20250505_1833, 3e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.949,      0.002,        0.973,       0.002, experiments/exp_20250505_1833
20250505_1854, 3e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.951,      0.003,        0.971,       0.003, experiments/exp_20250505_1854
20250505_1916, 3e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.948,      0.0  ,        0.973,       0.002, experiments/exp_20250505_1916
20250505_1939, 5e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.952,      0.001,        0.972,       0.003, experiments/exp_20250505_1939
20250505_2001, 5e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.953,      0.001,        0.973,       0.007, experiments/exp_20250505_2001
20250505_2022, 5e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.952,      0.002,        0.975,       0.003, experiments/exp_20250505_2022
20250505_2043, 5e-05 ,    1,    3,               64,             128,       10,        3,      0,       0.949,      0.001,        0.976,       0.002, experiments/exp_20250505_2043
20250505_2104, 0.0001,    1,    3,               64,             128,       10,        3,      0,       0.953,      0.002,        0.974,       0.003, experiments/exp_20250505_2104 [BEST]
20250505_2124, 0.0001,    1,    3,               64,             128,       10,        3,      0,       0.955,      0.001,        0.974,       0.002, experiments/exp_20250505_2124
20250505_2145, 0.0001,    1,    3,               64,             128,       10,        3,      0,       0.952,      0.002,        0.978,       0.003, experiments/exp_20250505_2145
20250505_2205, 0.0001,    1,    3,               64,             128,       10,        3,      0,       0.955,      0.002,        0.975,       0.003, experiments/exp_20250505_2205
20250505_2226, 1e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.927,      0.004,        0.972,       0.001, experiments/exp_20250505_2226
20250505_2248, 1e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.925,      0.003,        0.972,       0.003, experiments/exp_20250505_2248
20250505_2311, 1e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.926,      0.003,        0.967,       0.002, experiments/exp_20250505_2311
20250505_2333, 1e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.925,      0.002,        0.968,       0.003, experiments/exp_20250505_2333
20250505_2355, 3e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.952,      0.001,        0.972,       0.003, experiments/exp_20250505_2355
20250506_0018, 3e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.952,      0.002,        0.973,       0.002, experiments/exp_20250506_0018
20250506_0040, 3e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.951,      0.002,        0.974,       0.002, experiments/exp_20250506_0040
20250506_0102, 3e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.951,      0.002,        0.976,       0.001, experiments/exp_20250506_0102
20250506_0124, 5e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.954,      0.001,        0.972,       0.004, experiments/exp_20250506_0124
20250506_0147, 5e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.953,      0.002,        0.971,       0.002, experiments/exp_20250506_0147
20250506_0209, 5e-05 ,    1,    3,               32,              64,       10,        3,      0,       0.954,      0.002,        0.975,       0.002, experiments/exp_20250506_0209
